id,input_context,output_context,vision,reasoning,tool
agentrouter/claude-opus-4-8,1000000,128000,1,1,1
agentrouter/claude-opus-4-8-xhigh,1000000,128000,1,1,1
agentrouter/claude-opus-5,1000000,128000,1,1,1
agentrouter/claude-opus-5-xhigh,1000000,128000,1,1,1
agentrouter/deepseek-v4-flash,1000000,384000,-1,1,1
agentrouter/glm-5.3,200000,128000,-1,1,1
agentrouter/gpt-5.6-sol,1050000,128000,1,1,1
blaze/tok/deepseek-chat,128000,0,-1,1,1
blaze/tok/deepseek-chat-v3,128000,0,-1,1,1
blaze/tok/deepseek-chat-v3-1,128000,0,-1,1,1
blaze/tok/deepseek-r1,128000,0,-1,1,1
blaze/tok/deepseek-r1-distill-llama-70b,128000,0,-1,1,1
blaze/tok/deepseek-v3-1-terminus,128000,0,-1,1,1
blaze/tok/deepseek-v3-2,128000,0,-1,1,1
blaze/tok/deepseek-v3-2-exp,128000,0,-1,1,1
blaze/tok/deepseek-v4-flash,128000,0,-1,1,1
blaze/tok/deepseek-v4-flash-vision-exp,128000,0,1,1,1
blaze/tok/deepseek-v4-pro,128000,0,-1,1,1
cl/deepseek/deepseek-v4-flash,1048576,384000,0,1,1
cmd/deepseek/deepseek-v4-flash,1000000,384000,0,1,1
cmd/deepseek/deepseek-v4-pro,1048600,1048600,0,1,1
cmd/gpt-5.6-luna,1050000,128000,1,1,1
cmd/meta/muse-spark-1.2-contributor,1048576,1048576,1,1,1
fblaze/MiniMax-M2.5-official,200000,131072,-1,1,1
fblaze/MiniMax-M2.7-official,204800,131072,-1,1,1
fblaze/MiniMax-M3-official,1048576,512000,1,1,1
fblaze/deepseek-v4-flash-official,1000000,384000,-1,1,1
fblaze/deepseek-v4-pro-official,1000000,384000,-1,1,1
fblaze/z-ai/glm-5.2,128000,0,-1,1,1
ftaa/glm/glm-5.2,128000,0,-1,1,1
ftaa/kai/liquid/lfm-2.5-2.6b:free,128000,0,-1,1,1
ftaa/kai/nvidia/nemotron-3.5-lightning:free,128000,0,-1,1,1
ftaa/kai/poolside/laguna-s-2.1:free,128000,0,-1,1,1
ftaa/kai/poolside/laguna-xs-2.1:free,128000,0,-1,1,1
ftaa/kai/stepfun/step-3.7-flash:free,128000,0,-1,1,1
ftaa/kai/tencent/hy3:free,128000,0,-1,1,1
ftaa/min/minimax-m3,128000,0,1,1,1
ftaa/olm/deepseek-v4-pro,128000,0,-1,1,1
ftaa/opc/deepseek-v4-flash-free,128000,0,-1,1,1
ftaa/opc/hy3-free,128000,0,-1,1,1
ftaa/opc/nemotron-3.5-lightning-free,128000,0,-1,1,1
ftaa/yap/kimi-k3,128000,0,1,1,1
go/claude-opus-4-8,1000000,128000,1,1,1
go/claude-opus-4-8-thinking,1000000,128000,1,1,1
go/claude-opus-4-8-thinking-xhigh,1000000,128000,1,1,1
go/claude-opus-4-8-xhigh,1000000,128000,1,1,1
go/claude-opus-5,1000000,128000,1,1,1
go/claude-opus-5-thinking,1000000,128000,1,1,1
go/claude-opus-5-thinking-xhigh,1000000,128000,1,1,1
go/claude-opus-5-xhigh,1000000,128000,1,1,1
infer/claude-opus-5,1000000,128000,1,1,1
infer/claude-opus-5-xhigh,1000000,128000,1,1,1
infer/deepseek-v4-flash-0731,1000000,384000,-1,1,1
infer/deepseek-v4-pro-0813,1000000,384000,-1,1,1
infer/glm-5-2,200000,128000,-1,1,1
infer/kimi-k3,1048576,1048576,1,1,1
